"Species","Year","Region","Biomass"
"sockeye",2010,"Korea",0
"sockeye",2011,"Korea",0
"sockeye",2012,"Korea",0
"sockeye",2013,"Korea",0
"sockeye",2014,"Korea",0
"sockeye",2015,"Korea",0
"sockeye",1952,"Japan",0
"sockeye",1953,"Japan",0
"sockeye",1954,"Japan",0
"sockeye",1955,"Japan",0
"sockeye",1956,"Japan",0
"sockeye",1957,"Japan",0
"sockeye",1958,"Japan",0
"sockeye",1959,"Japan",0
"sockeye",1960,"Japan",0
"sockeye",1961,"Japan",0
"sockeye",1962,"Japan",0
"sockeye",1963,"Japan",0
"sockeye",1964,"Japan",0
"sockeye",1965,"Japan",0
"sockeye",1966,"Japan",0
"sockeye",1967,"Japan",0
"sockeye",1968,"Japan",0
"sockeye",1969,"Japan",0
"sockeye",1970,"Japan",0
"sockeye",1971,"Japan",0
"sockeye",1972,"Japan",0
"sockeye",1973,"Japan",0
"sockeye",1974,"Japan",0
"sockeye",1975,"Japan",0
"sockeye",1976,"Japan",0
"sockeye",1977,"Japan",0
"sockeye",1978,"Japan",0
"sockeye",1979,"Japan",0
"sockeye",1980,"Japan",0
"sockeye",1981,"Japan",0
"sockeye",1982,"Japan",2
"sockeye",1983,"Japan",4
"sockeye",1984,"Japan",6
"sockeye",1985,"Japan",8
"sockeye",1986,"Japan",9
"sockeye",1987,"Japan",11
"sockeye",1988,"Japan",15
"sockeye",1989,"Japan",13
"sockeye",1990,"Japan",16
"sockeye",1991,"Japan",15
"sockeye",1992,"Japan",17
"sockeye",1993,"Japan",19
"sockeye",1994,"Japan",21
"sockeye",1995,"Japan",23
"sockeye",1996,"Japan",23
"sockeye",1997,"Japan",23
"sockeye",1998,"Japan",19
"sockeye",1999,"Japan",19
"sockeye",2000,"Japan",21
"sockeye",2001,"Japan",24
"sockeye",2002,"Japan",0
"sockeye",2003,"Japan",0
"sockeye",2004,"Japan",0
"sockeye",2005,"Japan",0
"sockeye",2006,"Japan",88
"sockeye",2007,"Japan",0
"sockeye",2008,"Japan",55
"sockeye",2009,"Japan",0
"sockeye",2010,"Japan",0
"sockeye",2011,"Japan",0
"sockeye",2012,"Japan",0
"sockeye",2013,"Japan",0
"sockeye",2014,"Japan",0
"sockeye",2015,"Japan",0
"sockeye",1952,"M.I",497
"sockeye",1953,"M.I",369
"sockeye",1954,"M.I",514
"sockeye",1955,"M.I",1120
"sockeye",1956,"M.I",884
"sockeye",1957,"M.I",3427
"sockeye",1958,"M.I",1252
"sockeye",1959,"M.I",1106
"sockeye",1960,"M.I",1241
"sockeye",1961,"M.I",1247
"sockeye",1962,"M.I",1328
"sockeye",1963,"M.I",944
"sockeye",1964,"M.I",666
"sockeye",1965,"M.I",819
"sockeye",1966,"M.I",898
"sockeye",1967,"M.I",1120
"sockeye",1968,"M.I",782
"sockeye",1969,"M.I",679
"sockeye",1970,"M.I",684
"sockeye",1971,"M.I",593
"sockeye",1972,"M.I",572
"sockeye",1973,"M.I",553
"sockeye",1974,"M.I",1551
"sockeye",1975,"M.I",510
"sockeye",1976,"M.I",492
"sockeye",1977,"M.I",480
"sockeye",1978,"M.I",514
"sockeye",1979,"M.I",644
"sockeye",1980,"M.I",524
"sockeye",1981,"M.I",491
"sockeye",1982,"M.I",662
"sockeye",1983,"M.I",719
"sockeye",1984,"M.I",526
"sockeye",1985,"M.I",387
"sockeye",1986,"M.I",520
"sockeye",1987,"M.I",491
"sockeye",1988,"M.I",494
"sockeye",1989,"M.I",448
"sockeye",1990,"M.I",400
"sockeye",1991,"M.I",723
"sockeye",1992,"M.I",756
"sockeye",1993,"M.I",1111
"sockeye",1994,"M.I",921
"sockeye",1995,"M.I",1519
"sockeye",1996,"M.I",1619
"sockeye",1997,"M.I",776
"sockeye",1998,"M.I",428
"sockeye",1999,"M.I",720
"sockeye",2000,"M.I",1056
"sockeye",2001,"M.I",1370
"sockeye",2002,"M.I",722
"sockeye",2003,"M.I",510
"sockeye",2004,"M.I",278
"sockeye",2005,"M.I",1940
"sockeye",2006,"M.I",2186
"sockeye",2007,"M.I",1184
"sockeye",2008,"M.I",1069
